Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Carbon dioxide,5121.179439636218,5071.563914129351,5174.670600727453,5281.386608386349,5375.033803130697,5436.697985645714,5625.041884958041,5701.920919441467,5749.8930563288695,5829.51995115461,5997.2989122470835,5899.855484554803,5942.421409609994,5991.19093456165,6105.444109771077,6130.552416529034,6050.3846037128915,6127.888221116617,5928.256328994962,5493.547908151845,5700.108336541933,5572.584775486274,5371.777170152367,5522.908365433173,5572.106312157076,5422.965677347358,5306.66245700516,5270.7485254358335
Methane,779.84555008836,784.3848559318898,783.1766019546326,770.3084041318649,775.160650514985,767.8453442280825,759.4911581680075,744.9329261886476,729.6183166198474,717.4510349205575,709.304022944265,703.9150035432373,694.9536317309227,695.4330204986325,687.5489886711949,691.430647689735,691.97779763893,694.6075836558848,702.3033840764525,692.6761272848775,697.4504035322376,675.5449016854825,665.3724035236098,663.0426411528675,662.064220621265,661.395919895165,654.8978836316827,656.3166790862375
Nitrous oxide,370.30769424657234,368.96175654445284,371.78644214002594,385.34723368327593,376.511527218881,388.5028303445532,395.5457488698874,386.6083756346636,402.4957706319017,377.09124948379514,376.9972543560089,378.0653569261638,376.41338568595717,379.93842537493737,400.2525741730426,375.7804721868717,384.39888434413115,393.0300102901294,374.5465556573022,373.2599578788414,382.9293777170855,375.0738150219482,348.87612772585,365.354276562122,362.7427356159064,374.10888480483385,364.4857591020937,360.5156614577768
Fluorinated gases,99.66785871991699,90.704667591439,95.30071178966601,95.027349663055,98.12980647571301,117.021136968667,127.62026237937,134.999749563835,150.518866467608,147.399221231335,148.410584125504,134.9742367743003,142.86444074946718,132.70028115002108,139.80637676993152,141.27633214478118,143.56566277376757,154.4418911253911,155.49454402945796,149.8851514917996,158.10356289461149,164.21553555974805,159.94362995071398,158.91289219802417,163.082364206312,165.30499732505962,166.2213249542436,169.1373268495251
Total,6371.000542691067,6315.615194197133,6424.934356611779,6532.069595864544,6624.835787340277,6710.067297187016,6907.699054375305,6968.4619708286145,7032.526010048226,7071.461456790295,7232.010773672862,7116.810081798506,7156.652867776342,7199.2626615852405,7333.0520493852455,7339.039868550422,7270.32694846972,7369.967706188022,7160.600812758175,6709.369144807363,6938.591680685866,6787.419027753454,6545.969331352541,6710.218175346186,6759.99563260056,6623.775479372417,6492.26742469318,6456.718192829372
